filename,sample percents,3 colors centers,4 colors centers,5 colors centers,6 colors centers,7 colors centers,8 colors centers,9 colors centers,10 colors centers
st.louis_0007_1024x1024@2x.jpg,5,2.0 in 0.36327171325683594seconds,11.874007874011811 in 0.5331060886383057seconds,12.372009928492817 in 0.5664856433868408seconds,12.764602927211007 in 0.9663374423980713seconds,15.631030293135233 in 0.7706570625305176seconds,14.530009778701588 in 0.895456075668335seconds,477.5639105978335 in 1.1885969638824463seconds,54.883186484917175 in 1.2439520359039307seconds
st.louis_0007_1024x1024@2x.jpg,10,1.0 in 0.5663845539093018seconds,11.615665260785752 in 0.7664659023284912seconds,11.615665260785752 in 1.032949447631836seconds,12.036285534180191 in 1.5153491497039795seconds,669.1786021223794 in 1.685154914855957seconds,15.365680867384123 in 1.8968167304992676seconds,463.68826427710997 in 2.2992429733276367seconds,45.279437505320296 in 2.467352867126465seconds
st.louis_0007_1024x1024@2x.jpg,15,1.4142135623730951 in 0.8814525604248047seconds,11.615665260785752 in 1.0662856101989746seconds,12.516621774166063 in 1.5179035663604736seconds,12.036285534180191 in 2.047569751739502seconds,670.1162406298208 in 1.8856401443481445seconds,15.372009928492817 in 2.5128586292266846seconds,462.07719401910805 in 2.7991669178009033seconds,37.55677255377336 in 3.498692274093628seconds
st.louis_0007_1024x1024@2x.jpg,20,1.4142135623730951 in 1.0829181671142578seconds,10.74165738677394 in 1.2996015548706055seconds,11.615665260785752 in 1.8004100322723389seconds,11.190632664367211 in 2.681445837020874seconds,12.50197756222785 in 2.5658822059631348seconds,15.916191124600946 in 3.0449905395507812seconds,495.1746512902932 in 3.78405499458313seconds,47.35274625800856 in 4.663096904754639seconds
st.louis_0007_1024x1024@2x.jpg,25,1.4142135623730951 in 1.2162158489227295seconds,10.74165738677394 in 1.699448823928833seconds,11.615665260785752 in 2.000420093536377seconds,11.190632664367211 in 3.031195640563965seconds,13.114583761488111 in 3.2822206020355225seconds,14.50197756222785 in 3.7987704277038574seconds,489.4250511951582 in 5.016255855560303seconds,42.77733496178423 in 5.129312992095947seconds
st.louis_0007_1024x1024@2x.jpg,30,1.4142135623730951 in 1.500443458557129seconds,10.74165738677394 in 1.7827353477478027seconds,11.615665260785752 in 2.267885684967041seconds,11.190632664367211 in 4.57977294921875seconds,13.979499521484769 in 4.231900215148926seconds,14.916191124600946 in 5.0149827003479seconds,475.1549034940666 in 5.564780950546265seconds,46.17760281863871 in 6.864358186721802seconds
st.louis_0007_1024x1024@2x.jpg,35,1.4142135623730951 in 1.6328403949737549seconds,10.74165738677394 in 2.148205280303955seconds,11.615665260785752 in 2.866736650466919seconds,11.190632664367211 in 7.259854555130005seconds,14.114583761488111 in 3.965064525604248seconds,13.916191124600946 in 4.5063841342926025seconds,484.0670184845667 in 5.20965838432312seconds,43.14831357551453 in 5.818018674850464seconds
st.louis_0007_1024x1024@2x.jpg,40,1.4142135623730951 in 1.6753432750701904seconds,10.74165738677394 in 2.174234628677368seconds,11.615665260785752 in 3.3051674365997314seconds,11.190632664367211 in 3.850403070449829seconds,14.114583761488111 in 4.826881647109985seconds,66.46628448776104 in 6.437385082244873seconds,19.349476714959003 in 6.744788885116577seconds,39.63391574442073 in 8.133574485778809seconds
st.louis_0007_1024x1024@2x.jpg,45,1.4142135623730951 in 1.9091618061065674seconds,10.74165738677394 in 2.965024471282959seconds,11.615665260785752 in 3.4130301475524902seconds,11.190632664367211 in 4.8390116691589355seconds,14.114583761488111 in 4.762571811676025seconds,13.916191124600946 in 6.177895545959473seconds,482.2066340772834 in 7.7211034297943115seconds,42.5094428770072 in 9.324820518493652seconds
st.louis_0007_1024x1024@2x.jpg,50,1.4142135623730951 in 2.348006248474121seconds,11.615665260785752 in 3.043978691101074seconds,11.615665260785752 in 3.8585760593414307seconds,11.190632664367211 in 6.840491056442261seconds,12.665094018704934 in 5.976578235626221seconds,13.049056077028723 in 7.277881145477295seconds,21.48234166738678 in 8.082188129425049seconds,39.20274227217718 in 10.199450016021729seconds
houston_0057_1024x1024@2x.jpg,5,2.414213562373095 in 0.5040290355682373seconds,2.414213562373095 in 0.61431884765625seconds,161.7056352329139 in 0.6827206611633301seconds,11.37826156001694 in 0.7449753284454346seconds,234.01881934903219 in 0.7269792556762695seconds,230.98236280792685 in 0.8562870025634766seconds,28.09904232479705 in 0.9267826080322266seconds,28.207407737987126 in 1.0057408809661865seconds
houston_0057_1024x1024@2x.jpg,10,2.414213562373095 in 0.693864107131958seconds,2.414213562373095 in 0.8263161182403564seconds,161.75315024385546 in 1.1102383136749268seconds,15.013936050408503 in 1.1027052402496338seconds,232.10600176426487 in 1.234147071838379seconds,233.53444469867952 in 1.7072556018829346seconds,248.28723527232802 in 1.6050677299499512seconds,28.959556116067994 in 1.5730926990509033seconds
houston_0057_1024x1024@2x.jpg,15,3.23606797749979 in 0.9423596858978271seconds,3.82842712474619 in 1.0999290943145752seconds,167.12361514576997 in 1.4724273681640625seconds,12.949382989376325 in 1.6195213794708252seconds,236.2380386130983 in 1.8846814632415771seconds,232.4579830125378 in 2.106657028198242seconds,326.4760431539695 in 2.285888671875seconds,29.75159409366365 in 2.6454951763153076seconds
houston_0057_1024x1024@2x.jpg,20,3.23606797749979 in 1.2875759601593018seconds,2.414213562373095 in 1.277836561203003seconds,164.27409706948959 in 1.7198007106781006seconds,12.899494936611664 in 2.261690616607666seconds,231.17655412508503 in 2.0108377933502197seconds,229.33968479674004 in 2.7012860774993896seconds,248.24391112601444 in 2.8833847045898438seconds,32.70325764716556 in 3.380359172821045seconds
houston_0057_1024x1024@2x.jpg,25,3.23606797749979 in 1.456803560256958seconds,2.414213562373095 in 1.8854639530181885seconds,162.32046037806123 in 1.9270241260528564seconds,15.949382989376325 in 2.310516834259033seconds,234.24141776713185 in 3.511277437210083seconds,231.761208385379 in 3.4321768283843994seconds,250.98801740431037 in 3.8406496047973633seconds,32.201856025583766 in 4.214130878448486seconds
houston_0057_1024x1024@2x.jpg,30,3.23606797749979 in 1.8668503761291504seconds,3.82842712474619 in 2.105095386505127seconds,163.6494411638825 in 2.575113296508789seconds,15.013936050408503 in 3.5726478099823seconds,228.05180180164757 in 3.339289665222168seconds,230.33968479674004 in 4.387662172317505seconds,292.8614358784947 in 4.115074634552002seconds,32.99389431920818 in 5.141143560409546seconds
houston_0057_1024x1024@2x.jpg,35,1.0 in 1.8577909469604492seconds,3.82842712474619 in 2.1967546939849854seconds,162.27294536711963 in 3.4242422580718994seconds,12.631545744180542 in 3.483306884765625seconds,236.69640861254464 in 3.4941983222961426seconds,230.67119262488373 in 4.125143527984619seconds,235.90790521794173 in 5.20188045501709seconds,38.91156023552236 in 5.0019285678863525seconds
houston_0057_1024x1024@2x.jpg,40,2.0 in 2.0674266815185547seconds,3.82842712474619 in 2.518373489379883seconds,163.6494411638825 in 3.539489507675171seconds,12.37826156001694 in 3.8197689056396484seconds,231.49635456062768 in 3.972085475921631seconds,230.65752204193583 in 5.914786338806152seconds,243.03876979390876 in 5.7689738273620605seconds,22.625632935884 in 7.159183979034424seconds
houston_0057_1024x1024@2x.jpg,45,2.414213562373095 in 2.347771167755127seconds,2.414213562373095 in 2.8554818630218506seconds,163.6494411638825 in 3.8246614933013916seconds,12.37826156001694 in 5.008969306945801seconds,241.794262321744 in 5.462916135787964seconds,236.31215833880105 in 7.743323087692261seconds,229.2942265411425 in 6.446497678756714seconds,26.540383024009373 in 7.32505202293396seconds
houston_0057_1024x1024@2x.jpg,50,1.0 in 2.883896589279175seconds,3.82842712474619 in 3.780475378036499seconds,165.6502111325949 in 4.962564468383789seconds,11.999324178053929 in 5.628007888793945seconds,233.64332095225564 in 6.910325288772583seconds,229.33968479674004 in 9.249351263046265seconds,229.2942265411425 in 8.389128923416138seconds,20.761929630727725 in 9.03100872039795seconds
gray_0149_1024x1024@2x.jpg,5,0.0 in 0.9021987915039062seconds,6.449489742783178 in 1.0812067985534668seconds,4.47213595499958 in 1.651153802871704seconds,9.653676505351635 in 1.9350037574768066seconds,10.730838352728496 in 1.7631850242614746seconds,27.310447818569063 in 2.412961006164551seconds,395.38039039507845 in 3.2459352016448975seconds,69.95504705217223 in 3.2128310203552246seconds
gray_0149_1024x1024@2x.jpg,10,1.0 in 1.3062472343444824seconds,5.611767402951557 in 1.8148558139801025seconds,5.766114533138578 in 2.0858542919158936seconds,14.454030851813659 in 2.9019360542297363seconds,18.137158200537485 in 3.628075361251831seconds,30.595840957971593 in 4.775025367736816seconds,399.4088647170969 in 4.877851963043213seconds,70.7214031601209 in 6.72335958480835seconds
gray_0149_1024x1024@2x.jpg,15,0.0 in 1.588331699371338seconds,5.766114533138578 in 1.9231088161468506seconds,4.898979485566356 in 3.169203042984009seconds,10.416396073011462 in 3.933767795562744seconds,20.683551590040384 in 3.7626073360443115seconds,25.62761623097652 in 5.681298732757568seconds,398.54137734760036 in 5.404093265533447seconds,71.8902484175211 in 7.241514682769775seconds
gray_0149_1024x1024@2x.jpg,20,0.0 in 1.7621302604675293seconds,5.611767402951557 in 2.2163403034210205seconds,5.766114533138578 in 3.326357841491699seconds,10.520811552923856 in 6.378545045852661seconds,28.36074981157174 in 5.370161294937134seconds,22.322079664402487 in 6.872211933135986seconds,389.2856862392921 in 8.374421119689941seconds,71.5622423303571 in 8.900655746459961seconds
gray_0149_1024x1024@2x.jpg,25,0.0 in 2.0764055252075195seconds,5.766114533138578 in 2.5380871295928955seconds,6.631030293135233 in 4.012359857559204seconds,9.67579839347285 in 6.118680000305176seconds,18.35541833733242 in 6.1507978439331055seconds,20.34281781224339 in 8.205040216445923seconds,397.4842274072905 in 10.36214017868042seconds,69.20515794067475 in 9.976672172546387seconds
gray_0149_1024x1024@2x.jpg,30,0.0 in 2.2830982208251953seconds,5.611767402951557 in 2.9706685543060303seconds,6.631030293135233 in 4.967849254608154seconds,10.246035652598035 in 8.532704830169678seconds,16.05787674263941 in 9.116211175918579seconds,23.355252831759824 in 9.77989935874939seconds,401.7564521130688 in 11.142716407775879seconds,72.394265587452 in 14.21745491027832seconds
gray_0149_1024x1024@2x.jpg,35,0.0 in 2.760740041732788seconds,5.611767402951557 in 3.3412320613861084seconds,4.898979485566356 in 6.240967512130737seconds,9.284743575424066 in 6.70722770690918seconds,23.995532196967858 in 9.241293668746948seconds,30.6833068191362 in 10.03403091430664seconds,394.86814127983916 in 14.585015296936035seconds,71.93720874824365 in 14.277729272842407seconds
gray_0149_1024x1024@2x.jpg,40,0.0 in 3.066941261291504seconds,5.611767402951557 in 3.8396925926208496seconds,5.766114533138578 in 6.459285736083984seconds,10.520811552923856 in 10.400445938110352seconds,17.155444853355533 in 9.27173376083374seconds,11.896492791108207 in 10.95196008682251seconds,395.1720326645741 in 15.324984788894653seconds,70.85951504184578 in 16.048355102539062seconds
gray_0149_1024x1024@2x.jpg,45,0.0 in 3.2394587993621826seconds,5.611767402951557 in 4.321654558181763seconds,11.870743855335103 in 8.139049530029297seconds,10.520811552923856 in 9.066717624664307seconds,21.54604245418468 in 12.007110595703125seconds,20.612738014327956 in 14.159181594848633seconds,396.02823642936914 in 15.603132963180542seconds,450.39924075594234 in 16.91023349761963seconds
gray_0149_1024x1024@2x.jpg,50,0.0 in 3.56523060798645seconds,5.766114533138578 in 4.463225603103638seconds,11.870743855335103 in 7.547883987426758seconds,8.002182510638367 in 11.04331350326538seconds,20.332200990722047 in 9.560085773468018seconds,25.84906472735122 in 16.106502771377563seconds,394.8848207467246 in 14.898574352264404seconds,73.09620574987031 in 21.827836751937866seconds
black_0305_1024x1024@2x.jpg,5,11.246950765959598 in 1.1584370136260986seconds,9.779513950652772 in 2.1252496242523193seconds,14.640784186380301 in 1.7405617237091064seconds,12.762682790722629 in 2.85615873336792seconds,17.50692056096532 in 2.5531578063964844seconds,18.33741149949909 in 2.433161497116089seconds,13.70736817189021 in 2.7718589305877686seconds,279.703713111748 in 2.7963082790374756seconds
black_0305_1024x1024@2x.jpg,10,9.433981132056603 in 2.2200255393981934seconds,9.779513950652772 in 2.6276376247406006seconds,14.365300388279676 in 2.9603729248046875seconds,16.459457417881424 in 4.470663070678711seconds,17.50692056096532 in 4.304688453674316seconds,21.651427683424618 in 4.380176067352295seconds,23.092370554238062 in 5.075444221496582seconds,282.2497017722936 in 5.514298677444458seconds
black_0305_1024x1024@2x.jpg,15,10.246950765959598 in 2.898897171020508seconds,15.745986857977382 in 3.751589298248291seconds,15.281885242839627 in 4.183302164077759seconds,16.80792664623096 in 5.365290403366089seconds,12.29010383020318 in 8.277195453643799seconds,16.88792175671591 in 6.54993462562561seconds,18.08973729626917 in 7.421291828155518seconds,105.33001399892024 in 8.356251001358032seconds
black_0305_1024x1024@2x.jpg,20,10.246950765959598 in 3.993215560913086seconds,14.27889174620061 in 4.457204103469849seconds,15.938739492332008 in 5.29953145980835seconds,10.176896353095724 in 8.089311599731445seconds,12.29010383020318 in 7.798584461212158seconds,17.237214121051522 in 9.454688310623169seconds,22.360319746669184 in 9.345425128936768seconds,287.29939191367504 in 9.700157403945923seconds
black_0305_1024x1024@2x.jpg,25,9.433981132056603 in 3.9181699752807617seconds,14.27889174620061 in 5.630266427993774seconds,15.380904756432411 in 7.822169780731201seconds,10.348469228349535 in 8.404300451278687seconds,12.29010383020318 in 11.13930058479309seconds,14.887921756715913 in 10.062211751937866seconds,14.358898943540673 in 11.25072717666626seconds,278.1658308712905 in 13.888956069946289seconds
black_0305_1024x1024@2x.jpg,30,9.797958971132712 in 5.084699869155884seconds,15.745986857977382 in 7.956487655639648seconds,15.380904756432411 in 7.486661911010742seconds,15.055211530606574 in 8.969595909118652seconds,17.16841900771403 in 12.549884557723999seconds,14.47370819434282 in 11.3725426197052seconds,14.358898943540673 in 13.885673999786377seconds,288.8426781344234 in 15.315690994262695seconds
black_0305_1024x1024@2x.jpg,35,9.433981132056603 in 6.3628904819488525seconds,13.463425793191682 in 6.932227849960327seconds,15.380904756432411 in 8.67232608795166seconds,10.348469228349535 in 14.985008716583252seconds,18.83455496889994 in 14.404975175857544seconds,16.88792175671591 in 14.631831645965576seconds,195.6513891212391 in 16.509851217269897seconds,284.32549215704694 in 17.49874758720398seconds
black_0305_1024x1024@2x.jpg,40,8.602325267042627 in 7.1518213748931885seconds,15.745986857977382 in 8.27824592590332seconds,15.380904756432411 in 9.672419786453247seconds,16.97949952148477 in 10.607893943786621seconds,18.05743081818214 in 12.993693828582764seconds,14.47370819434282 in 15.490421772003174seconds,21.983044825239045 in 20.871482372283936seconds,280.95397102694 in 19.750948429107666seconds
black_0305_1024x1024@2x.jpg,45,10.246950765959598 in 7.512234687805176seconds,15.19547660076056 in 11.765011310577393seconds,14.46431990187246 in 11.895132780075073seconds,10.348469228349535 in 12.716233491897583seconds,18.420341406526845 in 14.12113070487976seconds,14.47370819434282 in 18.722339630126953seconds,21.671699927378402 in 18.972499132156372seconds,277.3678833275052 in 21.61504578590393seconds
black_0305_1024x1024@2x.jpg,50,9.433981132056603 in 9.00961184501648seconds,15.19547660076056 in 11.375925779342651seconds,15.380904756432411 in 12.941920280456543seconds,10.348469228349535 in 13.806869268417358seconds,15.118530954949371 in 16.302586793899536seconds,16.88792175671591 in 20.13106656074524seconds,21.1009174262078 in 24.122187852859497seconds,288.3051290773573 in 23.089471101760864seconds
gold_0050_1024x1024@2x.jpg,5,1.7320508075688772 in 0.548203706741333seconds,3.0 in 0.8374392986297607seconds,4.82842712474619 in 1.0179874897003174seconds,25.78292552484634 in 1.2029781341552734seconds,23.752247125154593 in 1.5413119792938232seconds,9.722755592483447 in 1.9736759662628174seconds,13.862447252805923 in 1.8200173377990723seconds,14.045243855508327 in 2.3634591102600098seconds
gold_0050_1024x1024@2x.jpg,10,1.4142135623730951 in 1.0395739078521729seconds,2.0 in 1.4199872016906738seconds,2.8284271247461903 in 2.152527332305908seconds,16.449196302852986 in 2.205497980117798seconds,32.96609129272717 in 2.6155378818511963seconds,14.780677985109932 in 3.2060136795043945seconds,13.454806400052323 in 3.4814717769622803seconds,15.695525395381212 in 4.398181200027466seconds
gold_0050_1024x1024@2x.jpg,15,1.0 in 1.3148529529571533seconds,3.732050807568877 in 2.1962602138519287seconds,5.0197648378370845 in 2.798551321029663seconds,15.327359791904197 in 3.1503946781158447seconds,15.676428503795691 in 3.5921132564544678seconds,8.576491222541474 in 4.029364585876465seconds,9.576491222541474 in 5.482536315917969seconds,12.974691494688162 in 5.729356288909912seconds
gold_0050_1024x1024@2x.jpg,20,2.0 in 1.6975634098052979seconds,3.732050807568877 in 2.944934368133545seconds,3.23606797749979 in 3.619079351425171seconds,17.540781557187586 in 5.04352593421936seconds,11.560477932315068 in 4.674841403961182seconds,11.136969154856542 in 5.675138473510742seconds,13.454806400052323 in 6.721940279006958seconds,14.36308110070411 in 7.1264967918396seconds
gold_0050_1024x1024@2x.jpg,25,2.0 in 2.0808908939361572seconds,2.0 in 3.215970754623413seconds,2.414213562373095 in 4.485964775085449seconds,12.828427124746192 in 5.936506271362305seconds,12.064495102245981 in 6.8654022216796875seconds,11.172245335266625 in 8.236323356628418seconds,11.308542030110353 in 8.856172800064087seconds,16.71153868560762 in 8.876068830490112seconds
gold_0050_1024x1024@2x.jpg,30,1.0 in 2.296962022781372seconds,3.732050807568877 in 3.5318946838378906seconds,2.0 in 5.132495164871216seconds,11.57298977128422 in 8.062014102935791seconds,25.844880227955727 in 7.305865526199341seconds,15.22677276241436 in 8.384061098098755seconds,12.454806400052323 in 9.463720321655273seconds,16.71153868560762 in 10.16160798072815seconds
gold_0050_1024x1024@2x.jpg,35,1.0 in 2.896658420562744seconds,3.414213562373095 in 4.179771184921265seconds,2.414213562373095 in 6.050807237625122seconds,15.23680087635139 in 7.407336235046387seconds,12.382332347441762 in 7.0324742794036865seconds,9.04059283767923 in 9.381168603897095seconds,12.54461000761014 in 12.123257398605347seconds,14.099771282656064 in 12.263532400131226seconds
gold_0050_1024x1024@2x.jpg,40,1.0 in 3.004084825515747seconds,3.732050807568877 in 5.239687919616699seconds,2.8284271247461903 in 6.797455072402954seconds,17.540781557187586 in 9.408778667449951seconds,12.382332347441762 in 9.759739398956299seconds,9.404918347287666 in 10.723861455917358seconds,13.58645889763972 in 11.989497423171997seconds,13.560477932315068 in 13.975188493728638seconds
gold_0050_1024x1024@2x.jpg,45,1.0 in 3.415370464324951seconds,3.732050807568877 in 4.458438158035278seconds,3.23606797749979 in 7.554593563079834seconds,17.611043429627003 in 10.001490831375122seconds,23.309330091990912 in 10.333565473556519seconds,9.404918347287666 in 11.388098955154419seconds,12.854408090070843 in 15.535444498062134seconds,16.250893692138497 in 18.10516619682312seconds
gold_0050_1024x1024@2x.jpg,50,1.0 in 3.6507530212402344seconds,4.464101615137754 in 6.09103536605835seconds,3.8284271247461903 in 8.352258205413818seconds,13.795045082019955 in 9.69843602180481seconds,13.766114533138577 in 12.862746715545654seconds,10.454806400052325 in 15.451947450637817seconds,10.22677276241436 in 14.810247659683228seconds,12.382332347441762 in 16.75861620903015seconds
royal_0015_1024x1024@2x.jpg,5,3.449489742783178 in 0.2695584297180176seconds,290.5400720132652 in 0.41658449172973633seconds,12.58505747976789 in 0.5691039562225342seconds,6.974691494688162 in 0.5168352127075195seconds,12.079320816884687 in 0.5702080726623535seconds,9.70674230225704 in 0.7173218727111816seconds,11.65685424949238 in 0.7329504489898682seconds,35.23143714051427 in 0.8709490299224854seconds
royal_0015_1024x1024@2x.jpg,10,6.4737081943428185 in 0.516836404800415seconds,6.19114712955712 in 0.6171250343322754seconds,9.660254037844386 in 0.855365514755249seconds,11.170843917394794 in 1.1149652004241943seconds,8.846433962579518 in 1.0381860733032227seconds,13.846433962579518 in 1.3187878131866455seconds,22.817545790119933 in 1.2654063701629639seconds,13.928203230275509 in 1.503744125366211seconds
royal_0015_1024x1024@2x.jpg,15,2.0 in 0.7173304557800293seconds,5.449489742783178 in 0.9022068977355957seconds,7.196152422706632 in 1.2875688076019287seconds,7.196152422706632 in 1.4452300071716309seconds,10.7566303550217 in 1.4724090099334717seconds,10.438793109825918 in 1.9217281341552734seconds,18.03454722255107 in 2.0394909381866455seconds,17.12435565298214 in 2.479405641555786seconds
royal_0015_1024x1024@2x.jpg,20,1.0 in 0.902202844619751seconds,0.0 in 1.140061616897583seconds,13.405428805327169 in 1.4033970832824707seconds,11.037703507366729 in 1.6886074542999268seconds,9.891439137424758 in 1.7510814666748047seconds,11.623489944993633 in 2.41485857963562seconds,20.453337872868335 in 2.3928701877593994seconds,14.617131077658268 in 2.578888177871704seconds
royal_0015_1024x1024@2x.jpg,25,5.4737081943428185 in 1.0024821758270264seconds,3.1462643699419726 in 1.6039230823516846seconds,9.941327190189416 in 2.0754547119140625seconds,6.477225575051661 in 2.101820707321167seconds,14.219244057718784 in 2.372666835784912seconds,11.072979687776812 in 3.032501697540283seconds,12.541720677297642 in 3.023153066635132seconds,20.263000645116794 in 3.245755672454834seconds
royal_0015_1024x1024@2x.jpg,30,1.0 in 1.3615965843200684seconds,0.0 in 1.6993625164031982seconds,13.405428805327169 in 2.290109872817993seconds,10.037703507366729 in 2.537433385848999seconds,13.591608730062301 in 2.9071617126464844seconds,12.305652699797852 in 3.375971555709839seconds,15.169356004954125 in 3.6279613971710205seconds,23.21069718574905 in 4.319620370864868seconds
royal_0015_1024x1024@2x.jpg,35,1.0 in 1.5883431434631348seconds,0.0 in 2.004960775375366seconds,8.209276382620539 in 2.6064109802246094seconds,6.477225575051661 in 3.4339442253112793seconds,12.769754314935605 in 2.9320731163024902seconds,9.891439137424756 in 3.756274938583374seconds,11.30565269979785 in 4.527486324310303seconds,20.1317603777458 in 4.44721245765686seconds
royal_0015_1024x1024@2x.jpg,40,5.4737081943428185 in 1.5570032596588135seconds,0.0 in 2.3774983882904053seconds,9.941327190189416 in 2.9237122535705566seconds,6.58257569495584 in 3.4083409309387207seconds,13.86049256248521 in 3.624577283859253seconds,9.728840064897813 in 4.287102222442627seconds,18.730260868026324 in 5.408908128738403seconds,15.47879382648727 in 5.298023700714111seconds
royal_0015_1024x1024@2x.jpg,45,1.0 in 1.9203622341156006seconds,0.0 in 2.3614909648895264seconds,5.58257569495584 in 2.944155216217041seconds,10.143053627270907 in 3.467634439468384seconds,9.728840064897813 in 4.306734561920166seconds,9.728840064897813 in 5.606549263000488seconds,14.696958849966478 in 5.37364387512207seconds,15.769901763242704 in 6.634688138961792seconds
royal_0015_1024x1024@2x.jpg,50,6.4737081943428185 in 2.158545732498169seconds,8.154517374961184 in 2.642184257507324seconds,5.58257569495584 in 2.8702924251556396seconds,9.143053627270907 in 3.4244210720062256seconds,10.550694480024507 in 4.377303123474121seconds,11.032065437739018 in 6.612751245498657seconds,15.875104434839784 in 5.701382637023926seconds,15.355688200869608 in 6.257469892501831seconds
